card_id,account_id,card_type,network,issue_date,expiry_date,card_status
CARD000001,ACC0177592,Credit,Mastercard,2021-07-20,2027-08-17,ACTIVE
CARD000002,ACC0119758,Debit,RuPay,2019-08-08,2031-09-21,BLOCKED
CARD000003,ACC0012129,Credit,Mastercard,2024-08-30,2030-03-24,EXPIRED
CARD000004,ACC0093412,Debit,Mastercard,2019-12-06,2032-03-31,EXPIRED
CARD000005,ACC0097611,Debit,Visa,2020-12-14,2032-04-30,EXPIRED
CARD000006,ACC0127051,Debit,Visa,2021-09-10,2029-02-16,BLOCKED
CARD000007,ACC0142899,Credit,Mastercard,2018-12-29,2030-08-13,ACTIVE
CARD000008,ACC0144883,Credit,RuPay,2021-05-07,2029-10-20,EXPIRED
CARD000009,ACC0043184,Debit,Mastercard,2018-07-22,2030-04-18,ACTIVE
CARD000010,ACC0032270,Debit,RuPay,2023-11-16,2030-11-12,ACTIVE
CARD000011,ACC0189174,Credit,Visa,2024-08-27,2032-02-26,BLOCKED
CARD000012,ACC0103480,Debit,RuPay,2022-03-19,2029-03-23,ACTIVE
CARD000013,ACC0007787,Credit,Visa,2023-02-10,2031-02-14,EXPIRED
CARD000014,ACC0156580,Credit,Mastercard,2020-06-26,2029-09-16,ACTIVE
CARD000015,ACC0118781,Credit,Visa,2021-12-18,2031-10-22,BLOCKED
CARD000016,ACC0063678,Debit,RuPay,2023-06-08,2030-05-03,EXPIRED
CARD000017,ACC0107183,Credit,Visa,2022-05-30,2028-10-24,BLOCKED
CARD000018,ACC0178151,Credit,RuPay,2022-01-19,2031-10-25,BLOCKED
CARD000019,ACC0098150,Debit,Visa,2019-01-22,2031-07-11,BLOCKED
CARD000020,ACC0023047,Credit,Mastercard,2022-04-05,2029-05-09,ACTIVE
CARD000021,ACC0199606,Credit,RuPay,2020-10-25,2028-01-23,BLOCKED
CARD000022,ACC0041733,Credit,RuPay,2024-08-11,2028-12-20,BLOCKED
CARD000023,ACC0128835,Credit,Visa,2022-09-18,2029-04-11,EXPIRED
CARD000024,ACC0153509,Debit,Visa,2021-01-31,2032-02-25,BLOCKED
CARD000025,ACC0128018,Debit,RuPay,2023-07-07,2027-08-29,EXPIRED
CARD000026,ACC0059131,Credit,RuPay,2019-03-06,2030-05-17,ACTIVE
CARD000027,ACC0052014,Debit,Visa,2023-11-20,2031-03-27,ACTIVE
CARD000028,ACC0105386,Credit,Mastercard,2019-05-04,2028-05-27,EXPIRED
CARD000029,ACC0184149,Credit,RuPay,2025-06-17,2030-08-27,ACTIVE
CARD000030,ACC0098534,Credit,RuPay,2025-07-05,2029-07-04,EXPIRED
CARD000031,ACC0005193,Credit,Visa,2025-02-17,2028-12-05,EXPIRED
CARD000032,ACC0061336,Debit,Visa,2019-09-07,2028-12-07,EXPIRED
CARD000033,ACC0026352,Debit,Mastercard,2024-09-27,2029-02-07,ACTIVE
CARD000034,ACC0092209,Credit,RuPay,2021-11-30,2027-08-29,BLOCKED
