fd_id,customer_id,deposit_amount,interest_rate,maturity_date,fd_status
FD000001,CUST076253,3929426.25,6.63,2028-11-25,ACTIVE
FD000002,CUST080811,706989.5,7.91,2027-05-01,MATURED
FD000003,CUST067373,4105938.09,5.23,2032-02-03,ACTIVE
FD000004,CUST048478,3496068.28,6.8,2034-12-06,ACTIVE
FD000005,CUST084127,2279671.52,6.43,2031-02-28,MATURED
FD000006,CUST034768,2117311.84,6.0,2032-05-12,CLOSED
FD000007,CUST073659,3244381.12,5.52,2031-02-07,MATURED
FD000008,CUST098538,2696903.65,5.8,2028-12-24,CLOSED
FD000009,CUST065020,1693386.97,7.22,2036-02-07,MATURED
FD000010,CUST039597,3835751.56,5.16,2028-02-24,CLOSED
FD000011,CUST019774,4171904.87,6.55,2033-12-18,CLOSED
FD000012,CUST065653,74862.93,5.28,2033-01-31,MATURED
FD000013,CUST007046,4486680.5,7.28,2032-12-11,CLOSED
FD000014,CUST096028,59669.7,6.84,2027-04-25,CLOSED
FD000015,CUST049245,4924209.29,7.85,2029-11-29,CLOSED
FD000016,CUST055362,3380416.82,7.6,2028-11-30,CLOSED
FD000017,CUST076302,3446064.21,6.64,2030-07-12,CLOSED
FD000018,CUST033180,2773532.06,7.98,2031-05-16,MATURED
FD000019,CUST050509,2094015.01,7.85,2033-02-10,ACTIVE
FD000020,CUST084110,3039668.46,7.58,2028-03-21,ACTIVE
FD000021,CUST006391,3702098.11,7.95,2033-07-19,ACTIVE
FD000022,CUST049099,112238.07,7.47,2031-04-07,CLOSED
FD000023,CUST027068,4140833.8,7.71,2035-01-01,ACTIVE
FD000024,CUST007860,4954580.5,6.04,2027-06-09,ACTIVE
FD000025,CUST029806,1878961.9,6.09,2035-05-01,CLOSED
FD000026,CUST094410,826385.6,7.61,2030-07-18,ACTIVE
FD000027,CUST046853,4662440.06,5.49,2033-07-05,CLOSED
FD000028,CUST096637,3499372.86,6.35,2035-09-04,MATURED
FD000029,CUST067728,4487991.13,7.6,2032-10-06,ACTIVE
FD000030,CUST013584,10892.57,6.52,2030-04-01,ACTIVE
FD000031,CUST062008,1698601.79,7.77,2030-07-18,CLOSED
FD000032,CUST017384,4041349.69,5.53,2032-07-19,ACTIVE
FD000033,CUST046064,2123051.08,7.68,2034-04-24,ACTIVE
FD000034,CUST004827,4066970.36,5.48,2027-10-05,ACTIVE
FD000035,CUST066886,1303777.78,6.35,2032-01-11,CLOSED
FD000036,CUST091908,1695725.3,6.61,2036-06-09,ACTIVE
FD000037,CUST064692,2363486.21,6.46,2033-09-30,MATURED
FD000038,CUST064982,1461235.98,5.84,2035-05-12,ACTIVE
