loan_id,customer_id,loan_type,principal,interest_rate,tenure_months,loan_status
LN000001,CUST067119,EDUCATION,8666271.08,10.17,36,DEFAULT
LN000002,CUST030494,PERSONAL,8491022.91,10.83,60,DEFAULT
LN000003,CUST093740,EDUCATION,6669785.67,11.96,12,ACTIVE
LN000004,CUST057336,EDUCATION,2431467.95,7.59,36,CLOSED
LN000005,CUST031776,EDUCATION,190864.91,9.73,60,DEFAULT
LN000006,CUST004923,PERSONAL,4869392.9,12.2,120,CLOSED
LN000007,CUST059588,AUTO,8099538.01,8.68,60,ACTIVE
LN000008,CUST042870,HOME,8002367.19,13.08,240,DEFAULT
LN000009,CUST009543,AUTO,7668627.95,9.8,12,DEFAULT
LN000010,CUST055097,EDUCATION,383546.61,10.37,24,DEFAULT
LN000011,CUST090871,PERSONAL,8489522.46,14.69,12,DEFAULT
LN000012,CUST052031,AUTO,8001724.32,14.51,12,DEFAULT
LN000013,CUST026924,PERSONAL,600281.09,11.38,36,DEFAULT
LN000014,CUST095904,PERSONAL,2837047.7,10.67,36,ACTIVE
LN000015,CUST089361,EDUCATION,3542858.62,7.42,12,ACTIVE
LN000016,CUST024668,AUTO,5893523.0,9.83,240,DEFAULT
LN000017,CUST060224,PERSONAL,9786097.53,14.63,240,CLOSED
LN000018,CUST035606,HOME,4266597.11,14.15,120,CLOSED
LN000019,CUST096617,AUTO,1119398.3,9.28,120,DEFAULT
LN000020,CUST058631,PERSONAL,9873721.22,10.65,24,ACTIVE
LN000021,CUST047225,AUTO,7729340.2,14.65,36,ACTIVE
LN000022,CUST084894,PERSONAL,8306394.37,11.27,60,ACTIVE
LN000023,CUST080733,HOME,9635810.13,14.87,120,CLOSED
LN000024,CUST071309,HOME,1939180.98,10.09,24,ACTIVE
LN000025,CUST034203,AUTO,5230370.02,10.33,24,DEFAULT
LN000026,CUST084891,HOME,8110743.57,9.05,60,ACTIVE
LN000027,CUST098569,HOME,5150819.02,9.21,24,DEFAULT
LN000028,CUST081899,PERSONAL,8372439.93,13.04,36,DEFAULT
LN000029,CUST092061,AUTO,5270227.12,12.96,240,DEFAULT
LN000030,CUST045203,AUTO,3623116.54,13.75,12,ACTIVE
LN000031,CUST067715,AUTO,640304.08,9.83,36,CLOSED
LN000032,CUST055745,EDUCATION,5731004.02,9.54,24,DEFAULT
LN000033,CUST047523,PERSONAL,8627171.38,11.18,24,CLOSED
LN000034,CUST009800,PERSONAL,4087998.39,8.72,120,CLOSED
LN000035,CUST049835,AUTO,343090.64,11.48,24,ACTIVE
LN000036,CUST034791,PERSONAL,7538381.94,13.67,36,ACTIVE
LN000037,CUST001579,HOME,1098347.05,8.25,120,ACTIVE
LN000038,CUST073877,EDUCATION,6581170.23,12.39,60,ACTIVE
LN000039,CUST064084,PERSONAL,4296511.53,9.22,24,ACTIVE
LN000040,CUST003141,EDUCATION,8991886.41,10.05,36,CLOSED
LN000041,CUST099880,EDUCATION,5986643.02,8.76,240,CLOSED
LN000042,CUST087781,AUTO,6983212.55,14.11,120,DEFAULT
LN000043,CUST074868,EDUCATION,6328718.51,13.11,12,ACTIVE
LN000044,CUST009438,PERSONAL,3189111.56,14.67,24,DEFAULT
LN000045,CUST047437,PERSONAL,9972509.89,13.57,240,ACTIVE
LN000046,CUST028102,EDUCATION,6700178.7,8.42,24,CLOSED
LN000047,CUST083464,AUTO,5443863.78,9.86,36,CLOSED
LN000048,CUST084860,HOME,7479001.07,14.58,24,ACTIVE
LN000049,CUST058472,AUTO,6239273.17,12.43,24,CLOSED
LN000050,CUST079453,HOME,9009378.85,13.1,12,CLOSED
LN000051,CUST070968,EDUCATION,6810173.05,7.9,240,DEFAULT
LN000052,CUST028952,HOME,1157161.28,9.87,240,ACTIVE
LN000053,CUST083627,AUTO,7231262.03,7.07,24,CLOSED
LN000054,CUST071841,PERSONAL,2361747.12,12.27,36,ACTIVE
LN000055,CUST049411,PERSONAL,6705337.89,11.06,240,DEFAULT
LN000056,CUST098977,HOME,8767665.0,10.19,36,ACTIVE
LN000057,CUST083077,EDUCATION,439814.91,9.57,60,DEFAULT
LN000058,CUST043278,EDUCATION,5465222.86,13.67,240,ACTIVE
LN000059,CUST055595,PERSONAL,4125195.66,11.86,120,CLOSED
LN000060,CUST036294,HOME,3009721.95,11.87,12,ACTIVE
LN000061,CUST072864,EDUCATION,4759022.48,8.83,240,DEFAULT
LN000062,CUST088839,HOME,1192935.75,9.05,240,DEFAULT
LN000063,CUST069058,PERSONAL,3969426.79,7.51,36,ACTIVE
LN000064,CUST030281,HOME,1257626.7,13.98,60,DEFAULT
LN000065,CUST037696,EDUCATION,5847610.22,8.8,120,ACTIVE
LN000066,CUST005764,EDUCATION,4219102.01,14.29,36,DEFAULT
LN000067,CUST073190,HOME,8288399.0,10.18,12,CLOSED
LN000068,CUST071725,EDUCATION,3644622.38,10.09,12,CLOSED
LN000069,CUST094999,HOME,8769819.26,14.56,12,ACTIVE
LN000070,CUST005913,PERSONAL,3132012.24,8.71,12,DEFAULT
LN000071,CUST094234,EDUCATION,7043586.45,14.63,24,CLOSED
LN000072,CUST065583,PERSONAL,9822196.31,10.86,120,ACTIVE
LN000073,CUST003339,EDUCATION,5287433.75,10.16,120,ACTIVE
